Wind Direction(compass),Wind Gust(mph),Screen Relative Humidity(%),Pressure(hpa),Wind Speed(mph),Temperature(C),Visibility(m),Weather Type,Pressure Tendency,Dew Point(C),Minutes Since 12o Clock,day,month,year,Wind Direction(compass) (t+1),Pressure(hpa) (t+1),Wind Speed(mph) (t+1),Temperature(C) (t+1),Visibility(m) (t+1),Weather Type (t+1)
10,22.0,64.6,1013.0,13.0,19.1,40000.0,8,0,12.3,1140,13,8,2023,10.0,1013.0,11.0,18.3,35000.0,7.0
10,18.0,69.2,1013.0,11.0,18.3,35000.0,7,1,12.6,1200,13,8,2023,9.0,1013.0,10.0,17.8,40000.0,7.0
9,19.0,70.0,1013.0,10.0,17.8,40000.0,7,1,12.3,1260,13,8,2023,9.0,1013.0,9.0,17.3,35000.0,8.0
9,16.0,73.3,1013.0,9.0,17.3,35000.0,8,1,12.5,1320,13,8,2023,9.0,1013.0,9.0,16.8,30000.0,8.0
9,15.0,80.3,1013.0,9.0,16.8,30000.0,8,0,13.4,1380,13,8,2023,8.0,1013.0,9.0,16.4,35000.0,8.0
8,15.0,80.2,1013.0,9.0,16.4,35000.0,8,0,13.0,0,14,8,2023,8.0,1012.0,10.0,16.4,35000.0,8.0
8,15.0,80.7,1012.0,10.0,16.4,35000.0,8,0,13.1,60,14,8,2023,8.0,1012.0,8.0,16.5,17000.0,12.0
8,14.0,83.4,1012.0,8.0,16.5,17000.0,12,0,13.7,120,14,8,2023,9.0,1011.0,6.0,16.0,26000.0,12.0
9,13.0,87.9,1011.0,6.0,16.0,26000.0,12,0,14.0,180,14,8,2023,8.0,1011.0,7.0,15.2,2300.0,12.0
8,11.0,94.3,1011.0,7.0,15.2,2300.0,12,0,14.3,240,14,8,2023,7.0,1011.0,5.0,15.3,29000.0,7.0
7,9.0,94.9,1011.0,5.0,15.3,29000.0,7,0,14.5,300,14,8,2023,7.0,1010.0,7.0,16.1,26000.0,11.0
7,10.0,94.4,1010.0,7.0,16.1,26000.0,11,0,15.2,360,14,8,2023,8.0,1010.0,7.0,16.9,16000.0,11.0
8,15.0,95.6,1010.0,7.0,16.9,16000.0,11,0,16.2,420,14,8,2023,8.0,1010.0,8.0,18.2,28000.0,8.0
8,11.0,92.1,1010.0,8.0,18.2,28000.0,8,0,16.9,480,14,8,2023,9.0,1010.0,10.0,19.2,30000.0,8.0
